# 単語,形態素解析後の単語,読み,品詞
ラーメン二郎,ラーメン二郎,じろう,カスタム名詞
完飲,完飲,かんいん,カスタム名詞
ウッメェェッ,ウンメ,うめえ,カスタム感嘆詞
ウンメ〜,ウンメ,うめえ,カスタム感嘆詞
ウッメェッ,ウンメ,うめえ,カスタム感嘆詞
ウッメ,ウンメ,うめえ,カスタム感嘆詞
マイウ〜ッ,ウンメ,うめえ,カスタム感嘆詞
プルッ,プル,ぷる,カスタム感嘆詞
クニュッ,クニュ,くにゅ,カスタム感嘆詞
ムッチクニュ,クニュ,くにゅ,カスタム感嘆詞
奮える,奮える,ふるえる,カスタム動詞
ザクザク,ザクザク,ざくざく,カスタム形容詞
俺好み,俺好み,おれごのみ,カスタム形容詞
デロとして,デロとして,でろとして,カスタム形容詞
グミとした,グミとした,ぐみとした,カスタム形容詞
神域,神域,かみいき,カスタム名詞
ミッチリ,ミッチリ,みっちり,カスタム形容詞
ごっそさん,ごっそさん,ごっそさん,カスタム名詞
ホロとして,ホロとして,ほろとして,カスタム形容詞
神なるもの,神なるもの,かみなるもの,カスタム名詞
神田神保町,神田神保町,かんだじんぼうちょう,カスタム名詞
三田本店,三田本店,みたほんてん,カスタム名詞
夜の部,夜の部,よるのぶ,カスタム名詞
環七,環七,かんなな,カスタム名詞
横浜関内,横浜関内,よこはまかんない,カスタム名詞
西台駅前,西台駅前,にしだいえきまえ,カスタム名詞
桜台駅前,桜台駅前,さくらだいえきまえ,カスタム名詞
野猿街道店,野猿街道店,やえんかいどう,カスタム名詞
生卵,生卵,なまたまご,カスタム名詞
生たまご,生卵,なまたまご,カスタム名詞
生玉子,生卵,なまたまご,カスタム名詞
なまたまご,生卵,なまたまご,カスタム名詞
最ッ高,最高,さいこう,カスタム形容詞
ウマい,ウマい,うまい,カスタム形容詞
ウマ,ウマい,うまい,カスタム形容詞
ブタ,ぶた,ぶた,カスタム名詞
