id,tweet,retweetCount,isRetweetedByMe,favCount,date
,平成27年12月30日水曜日、ラーメン二郎 三田本店、大ラーメン ニンニク 650YEN<n>麺、ツルとしてザクザク喰えるもの。<n>汁、ウンメ〜ッ！スッキリと飲みやすい汁、カラダに優しい癒し汁。<n>ぶた、プリップリで脂身甘いもの。<n>完飲。 https://t.co/F48ssmuRce,511,false,430,2015/12/30 10:18:10
,平成27年12月29日火曜日、ラーメン二郎 西台駅前店、小豚+味噌+白ネギ+味付うずら+生卵+生卵 ニンニク 1200YEN<n>汁、アッツアツ、凍えた体ポッカポカ。<n>生姜加えて、メッチャウンメ〜ッ！<n>豚、端豚、巻豚、神域ィ！<n>完飲。 https://t.co/P8UMRZhZZE,698,false,555,2015/12/29 21:52:36
,平成27年12月28日月曜日、ラーメン二郎 歌舞伎町店、普通盛+煮玉子 ニンニク800YEN<n>麺、モチとした食感の喰いごたえあるもの。<n>汁、ヤサイと合う、ニンニク溶けてウマい汁。<n>ブタ、いささかパサも、汁に浸しておいて吉。<n>完飲。 https://t.co/WtikdoVhHr,546,false,439,2015/12/28 19:41:00
,平成27年12月27日日曜日、ラーメン二郎大宮店、大ラーメン アブラカラメ生姜 700YEN<n>完飲。 https://t.co/kCB8tBUqYS,1888,false,1054,2015/12/27 18:36:02
,平成27年12月26日土曜日、ラーメン二郎 三田本店夜の部、大ラーメン ニンニクカラメ 650YEN<n>ぶた切れ無念。<n>麺、デッロプリに液体アブラ絡んでウッメェェッ！<n>汁、ウマ味と醤油利いたスッキリしたもの。クタヤサイと合う。<n>完飲。 https://t.co/DshC89IF7L,516,false,395,2015/12/26 21:42:08
,平成27年12月26日土曜日、ラーメン二郎 三田本店、ぶた入り大ラーメン ニンニク 750YEN<n>麺、プリとした柔らかめの食感。俺好み。<n>汁、ウマ味利いてウンメ〜ッ！<n>ブタ、喰いごたえあるぶ厚い端ブタ。しっとりとしてウマい。<n>完飲。 https://t.co/kaOO5rfynI,455,false,417,2015/12/26 21:36:39
,平成27年12月25日金曜日、ラーメン二郎 桜台駅前店、小ラーメン+生たまご+生たまご ニンニク紅生姜 800YEN<n>紅生姜ウッメェェッ！ムッチクニュ麺との食感の違い楽しいッ！ミルキィな汁に爽やかな酸味加わり激しくウマいッ！<n>完飲。 https://t.co/FWESnTHpqr,537,false,495,2015/12/25 22:19:17
,平成27年12月24日木曜日、ラーメン二郎八王子野猿街道店2、小ラーメン+レジェンド ニンニク少 930YEN<n>丸鶏入りスープの日。<n>ウッメェェッ！鶏のウマ味メッチャ利いた汁。玉子メッチャ合う〜！ウズラメッチャ合う〜！<n>完飲。 https://t.co/iNdJmh3IQg,738,false,603,2015/12/24 22:53:00
,平成27年12月23日水曜日、ラーメン二郎八王子野猿街道店2、小ラーメン+レジェンド ニンニク少 930YEN<n>麺、柔らかな仕上がり、メッチャ俺好み。<n>ウズラ、キングサイズ。大型種のウズラかな。トロリ半熟でウッメェェッ！<n>完飲。 https://t.co/nMqAUk2L81,1568,false,1046,2015/12/23 17:10:54
,平成27年12月22日火曜日、ラーメン二郎 新潟店、ラーメン小 ニンニク 700YEN<n>麺、ムチとしてザクザク喰えるもの。<n>汁、キャベツの甘み溶けて優しい味わい癒し系。超アッツアツで舌やけど。<n>ぶた、モチプリとしたもの。<n>完飲。 https://t.co/I5pOUxuQV8,564,false,483,2015/12/22 20:13:22
,平成27年12月21日月曜日、ラーメン二郎 西台駅前店、ラーメン+味噌+青ネギ+味付うずら+生卵+生卵 ニンニク 1100YEN<n>汁、一口啜ればスパイスふあと香る味噌味。<n>ブタ、ウッメェェッ！！味染みてプルと柔らか神域ブタ。<n>完飲。 https://t.co/HGgdzirAmG,597,false,538,2015/12/21 22:43:21
